California,,
,,
State’s Immigration,Unauthorized,Authorized
Increase Periods,"2005 – 2008, 2009 – 2010","2006 – 2007, 2009 – 2012"
Decrease Periods,"2008 – 2009, 2010 – 2012",2007 – 2009
Peak Year,2010,2007
Lowest Year,2009,2009
Census Over/Underestimation,340000 Under,
,,
Immigration From Mexico,Unauthorized,Authorized
Different increase periods?,n,y
Periods,,2006 – 2007
Different decrease periods?,n,y
Periods,,2007 – 2012
Census Over/Underestimation,133328 Under,
,,
State’s Immigration Popularity (Scenario),Unauthorized,Authorized
2005,,
2006,4,
2007,4,4
2008,1,2
2009,2,2
2010,2,2
Census,1,
2011,2,2
2012,5,2
,,
,,
See “state-immigration-population-scenarios.txt” for scenarios.,,
