Florida,,
,,
State’s Immigration,Unauthorized,Authorized
Increase Periods,"2005 – 2006, 2009 – 2011",2006 – 2012
Decrease Periods,"2007 – 2009, 2011 – 2012",
Peak Year,2006/2007,2012
Lowest Year,2009,2006
Census Over/Underestimation,30000 Over,
,,
Immigration From Mexico,Unauthorized,Authorized
Different increase periods?,y,y
Periods,"2005 – 2007, 2010 – 2011","2006 – 2008, 2009 – 2012"
Different decrease periods?,y,y
Periods,"2007 – 2010, 2011 – 2012",2008 – 2009
Census Over/Underestimation,37503 Over,
,,
State’s Immigration Popularity (Scenario),Unauthorized,Authorized
2005,,
2006,1,
2007,4,1
2008,2,1
2009,2,5
2010,1,1
Census,2
2011,1,1
2012,3,3
,,
,,
See “state-immigration-population-scenarios.txt” for scenarios.,,
