Georgia,,
,,
State’s Immigration,Unauthorized,Authorized
Increase Periods,"2005 – 2006, 2008 – 2009",2006 – 2012
Decrease Periods,"2007 – 2008, 2009 – 2012",
Peak Year,2006/2007,2012
Lowest Year,2012,2006
Census Over/Underestimation,30000 Over,
,,
Immigration From Mexico,Unauthorized,Authorized
Different increase periods?,y,y
Periods,"2005 – 2007, 2008 – 2009, 2010 – 2011","2006 – 2007, 2008 – 2012"
Different decrease periods?,n,y
Periods,,2007 – 2008
Census Over/Underestimation,29677 Over,
,,
State’s Immigration Popularity (Scenario),Unauthorized,Authorized
2005,,
2006,4,
2007,4,1
2008,2,3
2009,1,1
2010,2,1
Census,2,
2011,1,3
2012,2,3
,,
,,
See “state-immigration-population-scenarios.txt” for scenarios.,,
