Illinois,,
,,
State’s Immigration,Unauthorized,Authorized
Increase Periods,"2005 – 2007, 2009 – 2010","2006 – 2007, 2010 – 2011"
Decrease Periods,"2007 – 2009, 2011 – 2012",2007 – 2009
Peak Year,2007,2007
Lowest Year,2005,2009/2010
Census Over/Underestimation,60000 Under,
,,
Immigration From Mexico,Unauthorized,Authorized
Different increase periods?,y,y
Periods,"2005 – 2009, 2010 – 2011","2006 – 2007, 2009 – 2010"
Different decrease periods?,y,y
Periods,"2009 – 2010, 2011 – 2012","2007 – 2009, 2010 – 2012"
Census Over/Underestimation,22577 Under,
,,
State’s Immigration Popularity (Scenario),Unauthorized,Authorized
2005,,
2006,4,
2007,1,3
2008,4,2
2009,1,2
2010,2,3
Census,1,
2011,1,2
2012,2,2
,,
,,
See “state-immigration-population-scenarios.txt” for scenarios.,,
