New York,,
,,
State’s Immigration,Unauthorized,Authorized
Increase Periods,"2006 – 2007, 2009 – 2010","2006 – 2007, 2009 – 2012"
Decrease Periods,"2005 – 2006, 2008 – 2009, 2010 – 2012",2007 – 2008
Peak Year,2010,2012
Lowest Year,2006,2006
Census Over/Underestimation,230000 Under,
,,
Immigration From Mexico,Unauthorized,Authorized
Different increase periods?,y,n
Periods,"2006 – 2008, 2009 – 2010",
Different decrease periods?,n,y
Periods,,2007 – 2009
Census Over/Underestimation,123541 Under,
,,
State’s Immigration Popularity (Scenario),Unauthorized,Authorized
2005,,
2006,2,
2007,1,4
2008,1,2
2009,2,5
2010,2,1
Census,1,
2011,2,3
2012,2,1
,,
,,
See “state-immigration-population-scenarios.txt” for scenarios.,,
