Washington,,
,,
State’s Immigration,Unauthorized,Authorized
Increase Periods,"2005 – 2006, 2009 – 2010, 2011 – 2012","2006 – 2007, 2009 – 2010, 2011 – 2012"
Decrease Periods,"2006 – 2007, 2008 – 2009",
Peak Year,2006,2012
Lowest Year,2009,2006
Census Over/Underestimation,60000 Under,
,,
Immigration From Mexico,Unauthorized,Authorized
Different increase periods?,y,y
Periods,"2005 – 2006, 2007 – 2008, 2009 – 2012","2007 – 2008, 2009 – 2012"
Different decrease periods?,n,y
Periods,,"2006 – 2007, 2008 – 2009"
Census Over/Underestimation,30142 Under,
,,
State’s Immigration Popularity (Scenario),Unauthorized,Authorized
2005,,
2006,1,
2007,2,2
2008,3,1
2009,2,3
2010,2,3
Census,1,
2011,1,3
2012,1,3
,,
,,
See “state-immigration-population-scenarios.txt” for scenarios.,,
